Product_id,Product Name,Price,Rating,Ranking,Ratings_count,Reviews_count,Brand,SK_name
P127,Escozor® GS01 Smart Furniture Digital Keyless Lock for Home Black,4199,0,127,0,0,Escozor, GS01 Smart Furniture Digital Keyless Lock for Home Black
P128,Yale Access Bluetooth Module for Yale Smart Locks,4199,4,128,763,130,Yale, Access Bluetooth Module for  Smart Locks
P129,"Yale YDM 7116 Smart Door Lock with Biometric, Pin, RF Card, Bluetooth, Mechanical Keys & App Enabled Access, WiFi Optional, Color- Gold",50008,4.3,129,361,52,Yale," YDM 7116 Smart Door Lock with Biometric, Pin, RF Card, Bluetooth, Mechanical Keys & App Enabled Access, WiFi Optional, Color- Gold"
P130,"Helett H41 Premium Fingerprint|Biometric Wardrobe Lock for Cabinets, Wardrobe & Almirah for Home & Office | Finish- Black | Material - Zinc",1313,3.5,130,13,8,Helett," H41 Premium Fingerprint|Biometric Wardrobe Lock for Cabinets, Wardrobe & Almirah for Home & Office | Finish- Black | Material - Zinc"
P131,Jal Furniture Fingerprint Lock | Smart Biometric Cabinet Lock | Electric Safety Lock for Drawers & Wardrobes | Individual E-Key | Auto Lock Mode & Low Battery Warning Function | (Silver Finish),2999,0,131,0,0,Jal, Furniture Fingerprint Lock | Smart Biometric Cabinet Lock | Electric Safety Lock for Drawers & Wardrobes | Individual E-Key | Auto Lock Mode & Low Battery Warning Function | (Silver Finish)
P132,"Escozor® DFL06 Metal Body Fingerprint Drawer Lock,Smart Biometric Cabinet Lock,Safety Electric,Drawer Wardrobe Lock,Furniture Privacy Lock(20 Fingerprints stored & Each Lock Different EKey)",2299,0,132,0,0,Escozor," DFL06 Metal Body Fingerprint Drawer Lock,Smart Biometric Cabinet Lock,Safety Electric,Drawer Wardrobe Lock,Furniture Privacy Lock(20 Fingerprints stored & Each Lock Different EKey)"
P133,Godrej Advantis Rimtronic RF Digital Lock for Wooden Door | 2 in 1 Access | PIN Access | RFID Card | Black,10325,4.3,133,89,38,Godrej, Advantis Rimtronic RF Digital Lock for Wooden Door | 2 in 1 Access | PIN Access | RFID Card | Black
P134,"Denler DFLv6 Stylish Smart Lock, Digital Door Lock 3D Face Recognition, On Demand Video Intercom & on Demand Wi-Fi Remote Unlock Using App, Fingerprint, RFID Card, PIN, Key 3 Year Onsite Warranty",54999,0,134,0,0,Denler," DFLv6 Stylish Smart Lock, Digital Door Lock 3D Face Recognition, On Demand Video Intercom & on Demand Wi-Fi Remote Unlock Using App, Fingerprint, RFID Card, PIN, Key 3 Year Onsite Warranty"
P135,"Escozor® C1-Amaze Fingerprint Drawer Lock, Smart Biometric Cabinet Lock, Safety Electric Fingerprint Lock, Drawer Wardrobe Lock, Furniture Privacy Lock (Upto 10 Fingerprints can be stored)",1999,3.4,135,3,1,Escozor," C1-Amaze Fingerprint Drawer Lock, Smart Biometric Cabinet Lock, Safety Electric Fingerprint Lock, Drawer Wardrobe Lock, Furniture Privacy Lock (Upto 10 Fingerprints can be stored)"
P136,Golens X19 Luxury Smart Door Lock 8 Ways Unlocking 3D Face Id Fingerprint Mobile App RFID Card Pin Mechanical Key Camera Technology Keyless Entry Digital Lock (2 Year Warranty),20199,5,136,1,1,Golens, X19 Luxury Smart Door Lock 8 Ways Unlocking 3D Face Id Fingerprint Mobile App RFID Card Pin Mechanical Key Camera Technology Keyless Entry Digital Lock (2 Year Warranty)
